Rooms,Type,Price,Distance_from_CBD,Bathroom,Car_Spot,Region,Schooling_Facilities
2,h,1480000.0,2.7,1.0,1.0,northern metropolitan,239.0
2,h,1035000.0,2.7,1.0,1.0,northern metropolitan,239.0
3,h,1465000.0,2.7,2.0,1.0,northern metropolitan,239.0
3,h,850000.0,2.7,2.0,1.0,northern metropolitan,239.0
4,h,1600000.0,2.7,1.0,2.0,northern metropolitan,239.0
2,h,941000.0,2.7,1.0,1.0,northern metropolitan,239.0
3,h,1876000.0,2.7,2.0,1.0,northern metropolitan,239.0
2,h,1636000.0,2.7,1.0,2.0,northern metropolitan,239.0
3,h,1000000.0,2.7,1.0,1.0,northern metropolitan,239.0
2,t,745000.0,2.7,1.0,1.0,northern metropolitan,239.0
2,u,415000.0,2.7,1.0,1.0,northern metropolitan,239.0
2,h,1097000.0,2.7,1.0,2.0,northern metropolitan,239.0
2,u,542000.0,2.7,1.0,1.0,northern metropolitan,239.0
2,u,760000.0,2.7,1.0,1.0,northern metropolitan,239.0
2,u,481000.0,2.7,1.0,1.0,northern metropolitan,239.0
2,u,700000.0,2.7,2.0,1.0,northern metropolitan,239.0
3,h,1350000.0,2.7,2.0,2.0,northern metropolitan,239.0
2,u,750000.0,2.7,2.0,1.0,northern metropolitan,239.0
4,h,1985000.0,2.7,1.0,1.0,northern metropolitan,239.0
2,u,500000.0,2.7,1.0,1.0,northern metropolitan,239.0
2,h,1172500.0,2.7,1.0,1.0,northern metropolitan,239.0
2,u,441000.0,2.7,1.0,1.0,northern metropolitan,239.0
2,h,1310000.0,2.7,1.0,2.0,northern metropolitan,239.0
3,h,1200000.0,2.7,2.0,1.0,northern metropolitan,239.0
2,t,847000.0,2.7,1.0,1.0,northern metropolitan,239.0
3,h,1176500.0,2.7,1.0,1.0,northern metropolitan,239.0
3,h,955000.0,2.7,1.0,1.0,northern metropolitan,239.0
2,h,890000.0,2.7,1.0,1.0,northern metropolitan,239.0
4,h,1330000.0,2.7,2.0,2.0,northern metropolitan,239.0
3,t,900000.0,2.7,2.0,2.0,northern metropolitan,239.0
3,u,1090000.0,2.7,2.0,2.0,northern metropolitan,239.0
2,u,500000.0,2.7,1.0,1.0,northern metropolitan,239.0
2,h,1100000.0,2.7,2.0,1.0,northern metropolitan,239.0
2,h,1315000.0,2.7,1.0,1.0,northern metropolitan,239.0
2,u,480000.0,2.7,1.0,1.0,northern metropolitan,239.0
2,u,423500.0,2.7,1.0,1.0,northern metropolitan,239.0
2,u,426000.0,2.7,1.0,1.0,northern metropolitan,239.0
3,h,1447500.0,2.7,3.0,1.0,northern metropolitan,239.0
2,u,457000.0,2.7,1.0,1.0,northern metropolitan,239.0
2,h,1135000.0,2.7,2.0,2.0,northern metropolitan,239.0
2,h,700000.0,2.7,1.0,1.0,northern metropolitan,239.0
4,h,1542000.0,2.7,3.0,1.0,northern metropolitan,239.0
3,t,962000.0,2.7,1.0,1.0,northern metropolitan,239.0
3,h,1290000.0,2.7,2.0,2.0,northern metropolitan,239.0
3,h,1290000.0,2.7,1.0,1.0,northern metropolitan,239.0
2,u,470000.0,2.7,1.0,1.0,northern metropolitan,239.0
2,h,1180000.0,2.7,1.0,1.0,northern metropolitan,239.0
3,h,1195000.0,2.7,2.0,1.0,northern metropolitan,239.0
2,h,1012500.0,2.7,1.0,1.0,northern metropolitan,239.0
2,u,970000.0,2.7,1.0,1.0,northern metropolitan,239.0
